second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
2805,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.983887669600858,,flat,-2.162977653047569,45.18186667,10.78822667,23.0
2806,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.983291924432993,,flat,-2.002286757049374,45.18188833,10.78823333,23.0
2807,cooldown,high,keep going,Z1,Z1,Z1,Z1,7.002512526236944,,downhill,-2.0962587669976407,45.18191167,10.78824,23.0
2808,cooldown,medium,slow down,Z1,Z1,Z1,Z1,6.979830227615785,,flat,-2.04005153421107,45.18193333,10.78825,22.0
2809,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.966846744038958,,flat,-2.038794482393853,45.18195667,10.78825833,22.0
2810,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.979083617823672,,flat,-2.001846752515048,45.18198,10.788265,22.0
2811,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.961559478453742,,flat,-2.1001199952611582,45.182,10.78827167,22.0
2812,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.943522352791788,,flat,-2.05740337418393,45.18202667,10.788275,22.0
2813,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.942095357243863,,flat,-2.0628215534354153,45.18205167,10.78827667,22.0
2814,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.936717034649057,,flat,-1.8736325755338274,45.18207667,10.78828,22.0
2815,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.957212439539648,,flat,-2.108545716874309,45.18209833,10.78828167,22.0
2816,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.948733318089311,,flat,-1.9000052514512222,45.18212167,10.788285,22.0
2817,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.942109072234395,,flat,-1.9889608670488355,45.182145,10.78829333,22.0
2818,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.946665051340077,,flat,-2.080581440867197,45.18216833,10.78829833,22.0
2819,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.942028914099546,,downhill,-1.955575820091669,45.18219167,10.788305,22.0
2820,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.926942112256432,,flat,-1.9435585786545493,45.18222,10.78831333,21.0
2821,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9404371953518895,,flat,-2.0494129974289628,45.18224333,10.78832167,21.0
2822,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.943634810089595,,flat,-2.0053977664868947,45.18226833,10.78833,21.0
2823,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.935403753218829,,flat,-2.029006042252798,45.18229,10.78833833,21.0
2824,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.95538258009913,,flat,-1.9541204975892712,45.18231333,10.78834667,21.0
2825,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.938787223125743,,flat,-2.068214930077756,45.18233833,10.78835333,21.0
2826,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.953415544575777,,flat,-1.9461830193027179,45.182365,10.78836,21.0
2827,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.967341186431135,,flat,-2.0532446376645788,45.18239333,10.788365,21.0
2828,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.955694562968179,,flat,-2.049206081475662,45.18242333,10.78837,21.0
2829,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.946987957569137,,flat,-1.9291973213406333,45.18245,10.788375,21.0
2830,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.932395014484588,,flat,-1.9846772843284926,45.18247667,10.78837833,21.0
