second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
46,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2528100354808287,45.18938167,10.79159333,25.0
47,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1785835299778116,45.189385,10.79156667,25.0
48,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1429898575450856,45.18939167,10.79154333,25.0
49,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1939390697910954,45.189395,10.79151667,25.0
50,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.16279662642715,45.18939833,10.79149,25.0
51,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2932813020566103,45.1894,10.79146167,25.0
52,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.186244661616697,45.1894,10.791435,25.0
53,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.114470676358053,45.18940167,10.79140667,25.0
54,warmup,low,keep going,Z1,Z1,Z1,Z1,0.013948449865867027,,flat,2.5534841948888594,45.189405,10.79138167,24.0
55,warmup,low,slow down,Z1,Z1,Z1,Z1,0.004302115794158288,,flat,2.1053995327997974,45.18940667,10.79135833,24.0
56,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1838385074063065,45.18941,10.79133333,24.0
57,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,downhill,2.1541834549599974,45.18941167,10.79131,24.0
58,warmup,low,keep going,Z1,Z1,Z1,Z1,0.012234705978593175,,flat,2.6643931853410296,45.18941333,10.79128167,23.0
59,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0021825732893973934,,flat,2.274270353649429,45.189415,10.79125167,23.0
60,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2920405629611507,45.18941333,10.79122333,23.0
61,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1051682217723444,45.18941333,10.79119333,23.0
62,warmup,low,slow down,Z1,Z1,Z1,Z1,0.0030507047551392406,,downhill,2.225216584689415,45.18941667,10.79116667,23.0
63,warmup,low,keep going,Z1,Z1,Z1,Z1,0,,flat,2.5636905103983034,45.18941833,10.79113667,22.0
64,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1220078689054205,45.18942,10.79111,22.0
65,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2217852159422105,45.18942167,10.791085,22.0
66,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1142401794135384,45.18942,10.791055,22.0
67,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1358685480261825,45.18941833,10.791025,22.0
68,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.119142604079778,45.18941667,10.790995,22.0
69,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2004707072651923,45.18941833,10.79096833,22.0
70,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1314941715567572,45.18941833,10.79094,22.0
71,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.170022319518647,45.18942,10.79091333,22.0
72,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1645248069418725,45.18942,10.79088833,22.0
73,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.275647248634007,45.18941833,10.79086167,22.0
74,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.214161573301028,45.189415,10.79083333,22.0
75,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.119566922387377,45.18941,10.79081167,22.0
76,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.216215361901486,45.18941,10.79079,22.0
77,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2388573558365996,45.18940667,10.79076833,22.0
78,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1425801972196137,45.18940333,10.79074333,22.0
79,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2527730913939434,45.1894,10.79071667,22.0
80,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.22017233614676,45.18939333,10.790695,22.0
81,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2507877980843665,45.18938167,10.79068167,22.0
82,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.197354959773203,45.18936667,10.79067167,22.0
83,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.238436197458389,45.18935333,10.79066,22.0
84,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2991595724123632,45.18933667,10.79065333,22.0
85,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.247613454973605,45.18932167,10.79065333,22.0
86,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2939267063846707,45.18931,10.79064833,22.0
87,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1861583018657105,45.18929833,10.79064667,22.0
88,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.160247238731785,45.18928167,10.790635,22.0
89,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.1588992277919647,45.189265,10.79062833,22.0
90,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2800585382914957,45.18924333,10.790625,22.0
91,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2129475681294837,45.189215,10.79060833,22.0
92,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.2390963294119786,45.18919667,10.79058667,22.0
93,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,flat,2.221487563525284,45.18917667,10.790575,22.0
94,warmup,low,slow down,Z1,Z1,Z1,Z1,0,,uphill,2.2125568562656546,45.18915833,10.79056333,22.0
